"month","unique_carrier","carrier_name","sdomt_gallons","satl_gallons","spac_gallons","slat_gallons","sint_gallons","ts_gallons","tdomt_gallons","tint_gallons","total_gallons","sdomt_cost","satl_cost","spac_cost","slat_cost","sint_cost","ts_cost","tdomt_cost","tint_cost","total_cost","year"
1,"PO","Polar Air Cargo Airways",3095682,731689,13380503,0,14112192,17207874,3095682,14112192,17207874,5600244,1626373,22917040,0,24543413,30143657,5600244,24543413,30143657,2019
1,"QX","Horizon Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,"SY","Sun Country Airlines d/b/a MN Airlines",3603825,0,0,1228302,1228302,4832127,4116225,1344257,NULL,7127230,0,0,2630245,2630245,9757475,9034510,2861737,11896247,2019
1,"U7","USA Jet Airlines Inc.",0,0,0,0,0,0,467799,39870,507669,0,0,0,0,0,0,860549,167956,1028505,2019
1,"UA","United Air Lines Inc.",127590604,53538012,55192482,32518620,141249114,268839718,128594032,141518914,270112946,234726719,98041019,102255125,63335233,263631377,498358096,236590640,264119815,500710455,2019
1,"WI","Sky Lease Cargo",0,0,0,0,0,0,0,1329432,1329432,0,0,0,0,0,0,0,2664398,2664398,2019
1,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",0,0,0,0,0,0,47941,0,47941,0,0,0,0,0,0,141256,0,141256,2019
1,"X9","Omni Air International LLC",0,0,0,0,0,0,431442,3654782,4086224,0,0,0,0,0,0,905436,10495937,11401373,2019
1,"XP","XTRA Airways",0,0,0,0,0,0,2501,0,2501,0,0,0,0,0,0,8341,0,8341,2019
1,"YV","Mesa Airlines Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,"YX","Republic Airline",20121,0,0,0,0,20121,20121,0,20121,43183,0,0,0,0,43183,43183,0,43183,2019
1,"WN","Southwest Airlines Co.",162877133,0,0,1789759,1789759,164666892,163091949,1789759,164881708,311257985,0,0,4071037,4071037,315329022,311660539,4071037,315731576,2019
2,"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",0,0,0,0,0,0,473629,703692,1177321,0,0,0,0,0,0,1719142,1330481,3049623,2019
2,"0WQ","Avjet Corporation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",0,0,0,0,0,0,10306,10838,21144,0,0,0,0,0,0,28651,30130,58781,2019
2,"27Q","Jet Aviation Flight Services, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"2HQ","Elite Airways LLC",56789,0,0,0,0,56789,380855,0,380855,166382,0,0,0,0,166382,1485395,0,1485395,2019
2,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",232268,0,0,0,0,232268,274605,0,274605,636845,0,0,0,0,636845,752926,0,752926,2019
2,"5X","United Parcel Service",37155000,10576000,10951000,2930000,24457000,61612000,37155000,24457000,61612000,72268000,20252000,20399000,6093000,46744000,119012000,72268000,46744000,119012000,2019
2,"5Y","Atlas Air Inc.",0,0,0,0,0,0,5925931,31971559,37897490,0,0,0,0,0,0,13017193,65417799,78434992,2019
2,"8C","Air Transport International",0,0,0,0,0,0,10945,668700,679645,0,0,0,0,0,0,31288,1749284,1780572,2019
2,"9E","Endeavor Air Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"9S","Southern Air Inc.",766074,2306492,3084112,2433,5393037,6159111,766074,5393037,6159111,1630575,4868978,6396131,4423,11269532,12900107,1630575,11269532,12900107,2019
2,"AA","American Airlines Inc.",171404503,30958800,17322712,44034884,92316396,263720899,171809048,92477489,264286537,327026752,59435663,32573780,86843048,178852491,505879243,327810856,179178991,506989847,2019
2,"ABX","ABX Air Inc",147714,0,0,0,0,147714,147714,0,147714,0,0,0,0,0,0,0,0,0,2019
2,"AS","Alaska Airlines Inc.",50051046,0,0,1189785,1189785,51240831,50121660,1189785,51311445,107264474,0,0,3017190,3017190,110281664,107399929,3017190,110417119,2019
2,"B6","JetBlue Airways",52642699,0,0,13782584,13782584,66425283,52645386,13782584,66427970,108554374,0,0,28421031,28421031,136975405,108559925,28421031,136980956,2019
2,"CP","Compass Airlines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"DL","Delta Air Lines Inc.",152322966,42273867,24710323,26290073,93274263,245597229,154407088,93667362,248074450,313961048,87132937,50931775,54187883,192252595,506213643,319361813,193062831,512424644,2019
2,"F9","Frontier Airlines Inc.",17536368,0,0,2546226,2546226,20082594,17536368,2546226,20082594,34472192,0,0,4986355,4986355,39458547,34472192,4986355,39458547,2019
2,"FX","Federal Express Corporation",55621824,13088387,18142095,1814495,33044977,88666801,57413610,33859713,91273323,107603000,25317000,34071000,4001000,63389000,170992000,111096633,65173000,176269633,2019
2,"G4","Allegiant Air",13512627,0,0,0,0,13512627,13869284,121194,13990478,29175127,0,0,0,0,29175127,30035295,292448,30327743,2019
2,"G7","GoJet Airlines LLC d/b/a United Express",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"GFQ","Gulf And Caribbean Cargo",0,0,0,0,0,0,243903,82869,326772,0,0,0,0,0,0,635761,229579,865340,2019
2,"GL","Miami Air International",0,0,0,0,0,0,480858,242533,723391,0,0,0,0,0,0,1399624,705936,2105560,2019
2,"HA","Hawaiian Airlines Inc.",13532765,0,6418283,0,6418283,19951048,13532765,6418283,19951048,25862219,0,11806211,0,11806211,37668430,25862219,11806211,37668430,2019
2,"KAQ","Kalitta Air LLC",0,0,0,0,0,0,1728042,3983371,5711413,0,0,0,0,0,0,3866084,9664349,13530433,2019
2,"KD","Western Global",0,0,0,0,0,0,1579656,682988,2262644,0,0,0,0,0,0,3364687,1439034,4803721,2019
2,"KH","Aloha Air Cargo",338518,0,0,0,0,338518,338518,0,338518,635575,0,0,0,0,635575,635575,0,635575,2019
2,"KLQ","Kalitta Charters II",0,0,0,0,0,0,182000,33582,215582,0,0,0,0,0,0,461211,91078,552289,2019
2,"L2","Lynden Air Cargo Airlines",88275,0,0,0,0,88275,119324,9368,128692,209784,0,0,0,0,209784,293751,22492,316243,2019
2,"M6","Amerijet International",0,0,0,1273169,1273169,1273169,494687,1368318,1863005,0,0,0,2717366,2717366,2717366,1055826,2920446,3976272,2019
2,"MQ","Envoy Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"N8","National Air Cargo Group Inc d/ba National Airlines",0,0,0,0,0,0,45744,258810,304554,0,0,0,0,0,0,160755,2701263,2862018,2019
