"seats","passengers","distance","unique_carrier","year","month","class"
0,0,690,"5X",2019,6,"G"
8618,7974,2677,"HA",2018,5,"F"
200,0,609,"EV",2018,8,"F"
350,321,622,"G7",2018,3,"F"
2350,1993,642,"OO",2019,3,"F"
7802,5964,1554,"UA",2019,12,"F"
358,102,463,"09Q",2018,3,"L"
9,0,119,"GV",2019,6,"L"
0,0,657,"5X",2019,11,"G"
47,26,28,"GV",2019,8,"F"
5965,5746,2194,"DL",2019,6,"F"
0,0,954,"5Y",2018,6,"P"
9,0,552,"V8",2018,9,"L"
2584,2218,564,"QX",2019,4,"F"
6,3,8,"3AQ",2019,1,"L"
6578,4974,1242,"WN",2018,12,"F"
8,4,1385,"3EQ",2019,11,"L"
0,0,851,"FX",2019,3,"G"
2752,2355,5345,"DY",2018,10,"F"
2864,2467,363,"UA",2019,8,"F"
0,0,553,"AMQ",2018,3,"P"
0,0,659,"9E",2019,9,"F"
4375,3881,1129,"WN",2019,12,"F"
12012,10303,483,"WN",2018,5,"F"
17978,16140,1721,"AS",2019,10,"F"
3000,2361,315,"ZW",2019,11,"F"
5340,4479,2611,"AS",2018,10,"F"
0,0,5147,"CV",2018,1,"G"
1200,775,274,"OO",2018,1,"F"
11024,9513,853,"DL",2018,12,"F"
18392,12986,279,"QX",2018,10,"F"
4290,2781,786,"WN",2019,4,"F"
8,3,722,"3EQ",2019,2,"L"
4196,3535,4072,"EI",2019,9,"F"
9,0,348,"V8",2019,12,"L"
4,0,294,"8V",2019,2,"L"
17850,15701,588,"B6",2018,4,"F"
1550,1312,77,"OO",2019,5,"F"
0,0,412,"5X",2019,12,"G"
0,0,2436,"8C",2018,9,"P"
0,0,740,"CX",2019,9,"G"
5900,4812,551,"OO",2018,7,"F"
0,0,1174,"FX",2018,2,"G"
12,3,428,"0WQ",2018,1,"L"
2600,2362,563,"AX",2019,7,"F"
36,18,95,"K2",2019,5,"F"
18,13,184,"V8",2019,3,"F"
297,144,59,"H6",2019,5,"F"
23329,19175,1069,"DL",2019,3,"F"
4500,4187,2194,"LR",2018,4,"F"
0,0,725,"AS",2018,10,"G"
199,191,1704,"DL",2019,12,"F"
2538,2377,937,"F9",2019,12,"F"
12,6,2092,"27Q",2019,12,"L"
24,1,23,"H6",2018,4,"F"
6253,5320,2288,"UA",2018,12,"F"
3244,2682,601,"AA",2019,12,"F"
2156,1364,335,"MQ",2019,9,"F"
72,0,177,"DL",2018,2,"L"
6156,5239,1034,"9E",2018,10,"F"
0,0,2194,"ABX",2018,3,"G"
4332,3882,700,"9E",2019,7,"F"
3648,3320,664,"OO",2018,8,"F"
1001,768,711,"WN",2019,11,"F"
18460,14194,935,"AA",2019,4,"F"
0,0,1375,"M6",2018,7,"G"
152,106,1075,"YX",2019,2,"F"
5434,5053,861,"AA",2019,4,"F"
0,0,1506,"5X",2018,5,"G"
490,374,155,"G7",2018,5,"F"
0,0,130,"FX",2018,7,"G"
6308,4993,2584,"UA",2018,1,"F"
182,171,854,"NK",2019,5,"F"
10624,9235,1089,"AA",2019,5,"F"
424,292,279,"4B",2019,11,"F"
19305,10677,319,"WN",2018,1,"F"
0,0,3680,"5X",2019,10,"G"
166,111,770,"UA",2018,3,"L"
572,537,155,"MQ",2019,2,"F"
6096,5181,4822,"DL",2019,3,"F"
14588,11522,848,"AA",2019,3,"F"
504,366,6871,"UA",2019,5,"F"
256,103,99,"4B",2018,11,"F"
8,7,827,"27Q",2019,2,"L"
143,13,1282,"WN",2019,10,"F"
2885,2649,668,"9E",2018,12,"F"
1260,1057,516,"F9",2018,9,"F"
1700,1307,1220,"B6",2019,2,"F"
18,8,103,"8E",2019,1,"F"
0,0,31,"7S",2018,9,"G"
9,0,95,"H6",2019,5,"F"
1790,1494,2434,"UA",2018,12,"F"
1794,1621,453,"OO",2018,5,"F"
5700,4725,170,"OO",2018,7,"F"
477,237,70,"J5",2019,1,"F"
3328,2247,760,"UA",2019,1,"F"
175,105,1356,"WN",2019,1,"F"
270,126,557,"KS",2019,11,"F"
16001,11081,6927,"UA",2019,11,"F"
550,494,771,"OO",2018,10,"F"
18,8,49,"H6",2018,11,"F"
210,178,599,"G7",2019,5,"F"
2584,2062,98,"OO",2018,10,"F"
0,0,743,"KLQ",2018,10,"P"
10285,8365,759,"AA",2019,9,"F"
18,2,163,"8E",2019,4,"F"
27,12,7,"8E",2018,4,"F"
138,66,16,"H6",2018,1,"F"
4050,3724,853,"UA",2018,7,"F"
26355,25006,1337,"AA",2019,6,"F"
3600,2762,2062,"DL",2019,1,"F"
12584,11845,1491,"WN",2018,5,"F"
6095,4533,6236,"RJ",2019,1,"F"
1404,1153,1624,"G4",2018,12,"F"
1500,1352,4248,"BY",2018,5,"L"
1368,1135,952,"YV",2018,2,"F"
7,3,1109,"0WQ",2018,7,"L"
0,0,442,"H6",2019,4,"G"
1152,1089,507,"AA",2018,7,"F"
896,547,177,"UA",2018,4,"F"
2976,2286,2039,"F9",2018,9,"F"
83,35,37,"GV",2018,8,"F"
2650,1999,488,"AX",2018,8,"F"
0,0,481,"FX",2019,4,"G"
143,115,17,"WN",2019,3,"F"
1072,1025,1311,"WS",2019,6,"F"
